Name,Time,Store,Comment
Saad Syed,2018-01-27,Amazon Go,bottom line affect high class job within corporation like marketing signage grocery produce specialist build contractor maintenance much money lose refrigeration people make figure figure salary exclude bonus course ceo get figure no physical work
Ashley Happens to Travel,2018-01-28,Amazon Go,return many product claim lose damage item too often issue coupon repeatedly amazon shut account tool place prevent open new one
Hilary Albutt,2018-01-28,Amazon Go,aside cool factor depersonalisation negative uncaring world people disenfranchise people get work real term job well pay kind store ironically use not safe staffer
Clown World,2018-01-29,Amazon Go,would something increase cost salary supermarket accountability stock management etc
Dirk Walker,2018-01-29,Amazon Go,waste man hour job not need anymore human waste life busy work robot well fast fraction cost whole concept work job earn living make sense last thousand year
Charles S.,2020-05-07,Walmart,close hour since item apple watch deliver fedex store yet receive notification
bacon boy,2021-04-04,Amazon Go,actually not money probably go worker worle hard app amazan go
Tammy,2021-03-09,Walmart,know deal people not robot thankful offer service think walmart want please customer not usually person deal not company
Larry H,2020-01-27,Walmart,com customer care customer email pm resolution matter thank larry get outlook io
Nathan Yingling,2021-03-25,Walmart,walmart could fix problem let customer pay advance release item customer instead jackasmaking twice amount
Gary Sanders,2021-04-13,Walmart,walmart could fix problem let customer pay advance release item customer instead jackasmaking twice amount
A-T,2021-09-13,Walmart,big problem fact save item shop cart full item plan buy day later go
"Nitin of Chandler, AZ",2019-10-01,Walmart,contact customer care executive later manager tell order cancel third party seller sell item new item sell extra dollar walmart not match price
"Kate of Brooklyn, NY",2019-01-26,Walmart,samsung service just scam take good charger exchange broken one send tablet back without anything else tablet still not work
"Tara of South Bend, IN",2021-08-09,Walmart,walmart email call tell responsibility get item back want refund job find order get back get money back
Diana M.,2020-06-04,Walmart,enough money supply personal protective device employee
